,한글 이름,영문 이름,가격,종류,나라,도시,아로마,음식매칭,전문가 평점,소비자 평점,알코올,당도,산도,바디,타닌,메이커스 노트,테이스팅 노트
291,"아리온, 마마망고","Arione, Mama mango",30000.0,스파클링,이탈리아,,"감귤, 망고",디저트,-,4,6 %,3,3,1,1,"망고의 향이 풍부하게 느껴지는 달콤하고 사랑스러운 스파클링 모스카토 베이스로 망고 , 열대 과일, 감귤류의 푸르티함이 경쾌하고 조화롭게 어우러져 있는 와인이다.",
292,"캐년 오크, 샤르도네","Canyon Oaks, Chardonnay",25000.0,,미국,캘리포니아,"사과, 복숭아, 바닐라, 오크, 멜론","해산물, 샐러드",-,3.3,13~14 %,1,3,3,1,"금빛이 감도는 볏짚색을 띠고 복숭아, 멜론, 사과 등의 아로마가 느껴진다. 입 안에서는 열대 과일, 오크, 바닐라의 아로마가 조화로우며 긴 여운을 남기는 와인이다.",
293,"프레이 브라더스, 피노누아","Frei Brothers, Pinot Noir",59000.0,,미국,러시안 리버 밸리,"체리, 레드커런트","치즈, 비프, 스테이크, 양고기",-,4,14~15 %,1,4,3,3,"밝은 루비색에 레드커런트, 라즈베리, 체리의 아로마가 풍부하며 입 안에서는 부드러운 타닌이 훌륭한 밸런스를 보여주는 와인이다.",
294,"도멘 하고, 지브리 비에유 비뉴 루즈","Domaine Ragot, Givry Vieilles Vignes",150000.0,,프랑스,지브리,"라스베리, 블랙베리, 바닐라",,-,4,,1,4,3,3,"잘 익은 블랙베리와 라스베리와 함께 스파이스, 바닐라향이 잘 어우러져있다. 입 안에서는 정제된 타닌과 함께 잘 짜여진 구조감, 밸런스가 일품인 와인이다.",
295,"메디치 에르메테, 콘체르토","Medici Ermete, Concerto",70000.0,스파클링,이탈리아,에밀리아 로마냐,"배, 딸기, 꽃","치즈, 블루치즈, 초밥, 야채",-,3.9,11~12 %,1,2,4,2,"짙은 루비 레드색을 띠고, 와인잔에 따르면 드러나는 아름다운 루비빛 거품이 매력적이다. 딸기류의 과일향과 섬세한 꽃 향기가 향기롭게 오랫동안 지속된다. 드라이하면서도 열대 과일향의 풍부함을 느낄 수 있으며, 동시에 부드러움과 신선함 그리고 생기가 조화롭게 어우러진 와인으로 깨끗한 산도와 긴 피니쉬를 가지고 있는 와인이다.

메디치 에르메테의 자가 포도원 중에서도 최상급 포도를 재배하는 싱글빈야드에서 한정 생산된다. 샤르마 방식으로 생산한 신선함을 간직한 스파클링 와인이다.","
김상미
2018.11.01
2017 빈티지
4.0"
296,"미구엘 토레스, 안디카 소비뇽 블랑 리제르바","Miguel Torres, Andica Sauvignon Blanc Reserva",40000.0,,칠레,쿠리코 밸리,"허브, 시트러스, 자몽, 열대과일","식전주, 해산물",-,3.8,13~14 %,1,4,2,1,"아름답고 섬세한 은은한 노란색을 띠고 열대과일,자몽과의 시트러스 과일과 가벼운 허브향 입 안에서는 달콤하고 신선함이 동시에 느껴지는 화이트와인이다.",
297,"베세라 드 벨퐁, 블루 브뤼","Besserat de Bellefon, Bleu Brut",128000.0,스파클링,프랑스,샹파뉴,"헤이즐넛, 꽃, 레몬, 라임, 감귤, 미네랄",,-,4,,1,5,2,1,"깨끗한 골드 레몬빛을 띠고 라임, 하얀 꽃, 헤이즐넛의 신선한 향이 매력적으로 피어 오르며, 미네랄리티가 풍부하게 느껴진다. 입 안에서는 감귤류의 새콤달콤한 산미가 가득하며, 조밀한 버블이 주는 크리미한 질감이 만족스러운 와인이다. 일상의 즐거움을 함께 하기 좋은 조화로운 맛과 향을 제공한다.",
298,본 오브 파이어 샤도네이,Borne of Fire Chardonnay,70000.0,,미국,콜롬비아 밸리,"배, 꽃, 허브, 오크",파스타,-,4,13~14 %,1,3,2,1,"신선한 배와 열대과실, 꽃 향기, 그리고 허브 뉘앙스가 풍부하게 올라오며 특유의 미네랄리티가 느껴진다. 입 안에서는 오크통 숙성을 통해 스모키함이 느껴져 바디감을 살리고 아삭한 산도가 밸런스를 높인 풍미 깊고 우아한 화이트와인이다.",
299,"비솔, 제이오 발도비아데네 프로세코 수페리오레 엑스트라 드라이","Bisol, Jeio Valdobbiadene Prosecco Superiore Extra Dry",70000.0,스파클링,이탈리아,발도비아데네,꽃,"식전주, 치즈, 블루치즈, 초밥, 야채",-,4,11~12 %,3,3,2,1,"맑은 볏짚 색을 띠고, 정교하고 생동감 넘치는 버블이 적절한 산도와 조화를 이루며, 풍부한 꽃 향과 잘 익은 노란 과일 향이 느껴진다. 해발 200m의 발도비아데네 프로세코 수페리오레 DOCG에서 생산되었다. 비솔의 제이오 라인은 발도비아데네 수페리오레 DOCG 지역의 언덕에 위치한 포도원들에서 생산한 뀌베를 블렌딩하여 생산하며, 풍부하고 섬세한 과일과 꽃 향이 가득한 비솔의 모던 타입 프로세코이다.",
300,"에라스모, 로제 드 무르베드르","Erasmo, Rose de Mourvedre",56000.0,,칠레,마울레 밸리,"배, 딸기, 꽃, 장미, 시트러스, 오렌지","파스타, 샐러드",-,3.8,,1,4,2,1,"딸기빛을 띠며 시트러스의 과일향이 강하게 일어나며 그레이프 푸르츠와 과즙강한 배의 부케를 느낄 수 있다. 장미 꽃잎으로 감싸진 달콤한 오렌지의 향을 느낄 수 있는 우아한 와인이다.

3월 초에 손으로 직접 선별하여 포도를 수확한다. 즉시 압축하고 아로마 본연의 복합적인 맛과 향을 보존하기 위하여 약 16도에서 18도의 컨트롤된 온도에서 추가의 이스트는 넣지 않는다.",
301,"이모스, 메를로","Emos, Merlot",150000.0,,미국,테메큘라 밸리,"배, 자두, 체리, 블랙베리, 블랙체리, 바닐라, 모카, 오크",치킨,-,4.2,14~15 %,1,2,3,3,"잘 익은 블랙체리, 자두, 블랙베리 등의 선명한 과실 향이 바닐라, 모카, 불에 그을린 참나무 향, 향신료의 향과 균형 있고 입체적으로 어우러져 있다. 입 안에서는 풍부한 과실 풍미가 산뜻한 산미와 어우러져 활기와 입맛을 더하고, 오크통 숙성을 통해 부드러워진 타닌이 입 안을 가득 채우며 긴 여운으로 이어지는 와인이다.

캘리포니아 테메큘라밸리에서 재배된 메를로 100%로 만들어진 이모스 메를로는 이 품종의 잠재력을 탁월하게 살려낸 보기 드문 와인이다. 과실 향이 두드러지고 감칠맛이 진한 것이 특징으로, 미국 내 소믈리에 대상 시음회에서도 높은 인기를 누리고 있다. 육류, 버섯류 등에 곁들이면 메를로만의 또 다른 개성을 발견하게 된다.","
loveu
2021.07.01
2013 빈티지
5.0
바디감이 너무 좋았던 와인이었습니다.
현대백화점 무역센터점에서 구매해서 마셨는데 과실향도 풍부하고 입 안 가득 머물러 있던 향이 너무 좋았습니다."
302,"캐논볼, 엔젤스 카우보이즈 브륏 로제","Cannonball, Angles & Cowboys Brut Rose",90000.0,스파클링,미국,캘리포니아,"딸기, 라임","해산물, 샐러드",-,3.8,12~13 %,1,4,2,1,"연한 핑크빛이 감돌고 붉은 산딸기, 딸기, 수박의 풍부한 향과 라임의 산미가 어우러져 입 안에서 우아하고 부드러운 맛을 만들어 내며 독특한 맛과 아로마를 담고 있는 와인이다.",
303,프로메사 모스카토,Promesa Moscato,17000.0,,스페인,,"배, 서양배, 사과, 시트러스, 감귤, 망고, 구아바",,-,4,7~8 %,3,3,1,1,"연한 노란색, 약간의 초록색을 띠고 서양배, 사과, 망고, 구아바, 감귤류의 아로마가 와인의 발랄함을 더한다. 입 안에서는 적당한 당도와 기포, 시트러스 계열의 상큼함이 기분 좋은 청량감을 주는 와인이다.",
304,더 롱 리틀 독 스파클링,The Long Little Dog Sparkling,30000.0,스파클링,프랑스,랑그독 루씨용,"복숭아, 살구, 꽃, 흰꽃, 레몬","리코타, 파스타, 샐러드",-,3.5,,1,5,2,1,"밝고 맑은 레몬 컬러에 레몬, 살구, 복숭아, 흰꽃의 아로마가 느껴진다. 입 안에서는 싱그러운 꽃과 상큼한 과일 아로마가 기분 좋은 산미와 기포로 피어나는 와인이다.",
305,루베롱 블랑,LUBERON BLANC,25000.0,,프랑스,론,"헤이즐넛, 꽃, 아카시아, 레몬",,-,4,,1,3,3,1,"화사한 노란색을 띠며 레몬, 아카시아 꽃, 헤이즐넛 향이 어우러진다. 입 안에서는 부드럽고 섬세한 맛과 생기 있는 피니시가 인상적인 와인이다.",
306,"마리 스튜아트, 뀌베 드 라 헨느 브뤼","Marie Stuart, Cuvee de la Reine Brut",145000.0,스파클링,프랑스,샹파뉴,꽃,"아페리티프, 파스타",-,4,12 %,1,4,3,1,"반짝이는 연한 금빛의 정교한 거품을 지녔으며, 흰 꽃 패션 프루츠, 달콤한 흰 과일과 은은한 미네럴을 느낄 수 있다. 우아하고 균형감이 뛰어난 샴페인이다.

발레 드 라 마른(Vallee de la Marne)과 세잔(Sezanne)에서 생산한 최상급 피노 뮈니에, 피노 누아, 샤르도네 품종으로 만든 샴페인으로, 마리 스튜아트의 오리지널 블렌딩 비율로 생산한다. '뀌베 드 라 헨느(Cuvee de La Reine)' - 여왕의 뀌베라는 별칭을 갖고 있으며, 도사주는 8g/L 이다.",
307,"마스카 델 타코, 로시 피노 네로 로사토","Masca del Tacco, “ Ro’Si ” Pinot Nero Rosato",38000.0,,이탈리아,뿔리아,"딸기, 미네랄",,-,4,12~13 %,1,3,2,1,밟은 옅은 분홍색에 야생 딸기 젤리 수박과 같은 달콤한 향이 풍부하고 그 뒤로 향신료 광물 미네랄 향이 희미하게 돈다. 입 안에서는 부드럽고 쥬시하게 감싸고 신선하지만 우아한 과실향이 길게 여운으로 남는 와인이다.,
308,"비에티, 바르베라 다스티 '트레 비그네'","Vietti, Barbera d'Asti 'Tre Vigne'",50000.0,,이탈리아,아스티,"체리, 오크",,-,4,,1,3,3,4,"바르베라 다스티의 포도는 라 크레나 포도밭으로 유명한 아스티 언덕주변인 아그리아노 테르메 지역에서 생산된다.

루비색을 띠고 있으며, 익은 붉은 체리향과 계피와 같은 스위트 스파이스 향이 풍부하게 느껴진다. 잔잔한 산도와 함께 느껴지는 타닌은 조화롭게 밸런스를 유지하며, 입안에서 오크 풍미와 체리풍미가 긴 여운으로 느껴진다. 18개월간 슬로베니안 오크통에서 숙성되었다.",
309,샹파뉴 끌로드 바롱 사파이어 브뤼,Champagne Claude Baron Saphir Brut,57000.0,스파클링,프랑스,샹빠뉴,미네랄,치즈,-,4,12~13 %,1,4,2,1,우아하면서 신선한 과일의 향이 풍부하게 느껴진다. 입 안에서는 산도가 있으면서 밝은 캐릭터의 흰색 과일의 캐릭터가 주로 느껴지고 날카로운 미네랄리티가 느껴지고 마시고 난 뒤에도 입안에 생생한 여운이 남는 와인이다.,
310,"세인트 프란시스, 피노 누아","St. Francis, Pinot Noir",76000.0,,미국,소노마 카운티,"석류, 체리, 딸기, 오렌지, 오크",,-,3.5,14~15 %,1,4,3,3,,"
김호영
2021.02.05
2021 빈티지
3.5
세인트 넘 조아요~~~~

굿뜨베리..."
311,"이기갈, 꼬뜨 뒤 론 블랑","E.Guigal, Cotes du Rhone Blanc",29800.0,,프랑스,꼬뜨 뒤 론,"복숭아, 살구, 꽃, 아카시아","닭고기, 햄",-,4,13.5 %,1,3,3,1,"밝은 황금색을 띠고 있으며 비오니에 포도품종 특유의 살구, 복숭아 등의 신선한 과일 향과 향긋한 아카시아 꽃 향이 풍부한 아로마를 만든다. 입 안에서는 프루티한 맛과 바디감이 느껴지며 우아한 여운을 남기는 와인이다.",
312,"이모스, 샤르도네",Emos Chardonnay,223000.0,,미국,러시안 리버 밸리,"복숭아, 살구, 꽃, 레몬, 라임, 타르","광어, 연어",-,4.5,14~15 %,1,3,3,1,"메이어 레몬, 라임의 상큼한 향이 은근하고도 세련되게 어우러져 있으며 미네랄의 신선함도 풍부하게 느껴진다. 신선한 살구, 복숭아 타르트의 풍미가 부드러운 꽃향과 어울려 화려한 풍미를 자아내는 와인이다.

1976년, 유명한 파리의 심판을 계기로 캘리포니아산 샤도네이의 위상이 달라졌습니다. 이모스 샤도네이는 캘리포니아에서 특급 포도원에서 매년 극소량만 제작됩니다. 겨울철 해물 요리에 샤도네이가 빠진다면 미각이 누릴 수 있는 최고의 즐거움을 포기하는 것입니다. 코스와 페어링해 천천히 음미하다 보면캘리포니아산 샤도네이만의 관능미를 경험할 수 있습니다.","
h1228
2021.07.01
2018 빈티지
5.0
loveu
2021.07.01
2018 빈티지
5.0
샤도네이를 좋아하게 해준 와인"
313,"프론테라, 프리미엄 스파클링 스위트 로제","Frontera, Premium Sparkling Sweet Rose",14900.0,스파클링,칠레,,"디저트, 식전주, 해산물, 샐러드",,-,3.5,12~13 %,1,5,2,1,옅은 연어색을 띠고 부드럽고 섬세한 기포와 함께 신선한 붉은 과실향이 잔을 가득 채우는 칠레의 달콤한 로제 와인이다.,
314,"드 샹세니, 크레망 드 루아르 브뤼","De Chanceny, Cremant de Loire Brut",36000.0,스파클링,프랑스,루아르,"배, 복숭아, 꽃","식전주, 치즈, 새우",95점,4,12~13 %,1,4,3,1,"옅은 볏짚 색을 띠며 지속적으로 미세한 기포가 올라옵니다. 생기 가득한 부케에서는 슈냉 블랑의 신선함과 샤르도네, 카베르네 프랑에서 오는 꽃의 우아함이 조화되어 세련된 복합미가 표현된다.

고운 질감 뒤에 따라오는 팔레트에서는 배와 복숭아를 비롯한 과실류의 싱그러움이 사랑스럽다. 아주 촘촘한 기포가 부드럽게 지속되는 여운과 잘 조화되는 고품질 크레망이다.",
315,"드럼헬러, 샤도네이","Drumheller, Chardonnay",50000.0,,미국,콜롬비아 밸리,"사과, 복숭아, 미네랄","치즈, 치킨, 스테이크, 양고기",87점,4,13~14 %,1,3,2,1,"복숭아, 사과 등의 과실향과 함께 미네랄 노트에 약간의 토스티함이 더해져 복합적인 아로마를 완성시킨다. 입 안에서는 산뜻한 산도가 와인의 밸런스를 높인 우아한 화이트와인이다.",
316,"마크 웨스트, 피노 누아","Mark West, Pinot Noir",26900.0,,미국,캘리포니아,"자두, 체리, 딸기","치즈, 스테이크, 파스타",-,4,13~14 %,1,3,3,3,"옅은 루비색을 띠며 블랙 체리, 붉은 자두, 딸기 등의 비교적 붉은 과실향과 부드러운 타닌, 비교적 가벼운 바디감으로 쉽게 마시기 좋은 우아하고 섬세한 캘리포니아 피노 누아 와인이다.",
317,"샤또 롱보, 리브잘트 앙브레","Château Rombeau, Rivesaltes Ambre",69000.0,,프랑스,랑그독 루씨용,"아몬드, 오렌지, 삼나무",푸아그라,-,4,,5,3,5,1,"호박색을 띠고 아몬드, 그릴 견과류, 삼나무, 오렌지 껍질 캔디 그리고 말린 과일의 복합미와 성숙한 아로마가 강렬하게 풍긴다. 따뜻하고 집중도 있는 숙성 감미와 견과류의 향으로 긴 여운을 남기는 와인이다.",
318,"샴페인 드라피에, 콰투아","Champagne Drappier, Quattuor",340000.0,스파클링,프랑스,샹파뉴,"사과, 복숭아, 무화과, 꽃, 잼, 레몬, 라임","치즈, 스테이크, 송아지, 연어, 파스타",92점,4.5,12~13 %,1,5,3,1,"반짝이는 레몬빛을 띠고, 라임, 사과, 복숭아, 무화과 잼, 흰 꽃 향이 느껴진다. 신선한 산미와 풍부한 미네랄리티가 돋보이는 긴 여운의 샴페인이다.

'콰투아'는 이름에서 느껴지는 것과 같이 4개의 향기가 하나로 피어난 매우 희귀한 샴페인이다. 지역내 사라져가고 있는 토착품종과 샤도네이 를블렌딩하여, 기존의 샴페인 역사를 새롭게 바꿀, 역사를 거슬러 올라가 새로운 문화를 창조해 낸 품목으로 이야기된다. '4중주'를 이야기하는 것 처럼, 4개의 서로 다른 품종이 빚어낸 아름다운 향기가 끊엄없이 입안을 즐겁게 해주는 샴페인이다.",
319,"스몰타운 빈야드, 클로벨라","Smalltown Vineyards, Clovella",88000.0,,호주,바로사 밸리,"자두, 체리, 블랙베리, 정향, 시나몬","치킨, 양념치킨, 피자, 양고기",-,4,,1,3,4,4,"짙은 루비색을 띠고 블랙베리, 검은 체리, 자두, 정향, 시나몬 향이 느껴진다. 생동감 넘치는 과실의 맛과 이국적인 향신료 맛이 어우러지는 풀 바디의 레드이다.

클로벨라는 두 사람이 양조를 하던 중 환상의 블렌딩을 찾아내었고, 각 포도들이 자란 싱글 빈야드의 이름을 붙여 탄생한 와인이다. 마타로(Mataro)에 그르나슈를 블렌딩하여 화려한 듯 농익은 듯한 깊은 풍미를 주는, '계속 맛 보고싶은' 환상의 레드이다. 22개월을 Neutral French Oak에서 지낸 덕분에 부드럽고 긴 여운을 주는 것 또한 특징이다. 그 어떤 맛보다 강렬한 풍미로 잊을 수 없는 기억을 선사하는 레드 블렌드 와인이다.",
